Año	Precio m2	Variación mensual	Variación trimestral	Variación anual
Noviembre 2011	1.499 €/m2	- 0,7 %	- 1,2 %	- 1,4 %
Octubre 2011	1.510 €/m2	+ 0,1 %	+ 1,7 %	+ 0,1 %
Septiembre 2011	1.508 €/m2	- 0,6 %	- 0,6 %	+ 0,3 %
Agosto 2011	1.517 €/m2	+ 2,2 %	+ 0,1 %	+ 1,6 %
Julio 2011	1.484 €/m2	- 2,2 %	- 1,8 %	- 1,6 %
Junio 2011	1.518 €/m2	+ 0,1 %	+ 0,3 %	+ 0,4 %
Mayo 2011	1.516 €/m2	+ 0,3 %	+ 2,5 %	- 1,4 %
Abril 2011	1.511 €/m2	- 0,2 %	+ 0,1 %	- 4,6 %
Marzo 2011	1.514 €/m2	+ 2,4 %	- 0,3 %	- 5,2 %
Febrero 2011	1.479 €/m2	- 2,1 %	- 2,7 %	- 6,6 %
Enero 2011	1.510 €/m2	- 0,6 %	+ 0,2 %	- 5,5 %
Diciembre 2010	1.519 €/m2	- 0,1 %	+ 1,0 %	- 5,3 %
Noviembre 2010	1.520 €/m2	+ 0,8 %	+ 1,8 %	- 8,7 %
Octubre 2010	1.508 €/m2	+ 0,3 %	0,0 %	- 7,5 %
Septiembre 2010	1.503 €/m2	+ 0,7 %	- 0,5 %	- 4,1 %
Agosto 2010	1.493 €/m2	- 1,0 %	- 2,9 %	- 3,1 %
Julio 2010	1.508 €/m2	- 0,2 %	- 4,8 %	- 5,8 %
Junio 2010	1.511 €/m2	- 1,8 %	- 5,3 %	- 9,0 %
Mayo 2010	1.538 €/m2	- 2,9 %	- 2,8 %	- 6,2 %
Abril 2010	1.585 €/m2	- 0,7 %	- 0,8 %	- 4,0 %
Marzo 2010	1.596 €/m2	+ 0,8 %	- 0,5 %	- 3,5 %
Febrero 2010	1.583 €/m2	- 0,9 %	- 4,9 %	- 5,8 %
Enero 2010	1.598 €/m2	- 0,4 %	- 1,9 %	- 6,5 %
Diciembre 2009	1.604 €/m2	- 3,7 %	+ 2,3 %	- 6,0 %
Noviembre 2009	1.665 €/m2	+ 2,2 %	+ 8,0 %	- 1,7 %
Octubre 2009	1.629 €/m2	+ 4,0 %	+ 1,8 %	+ 2,7 %
